"idDocLigne","idDocument","idJeu","question","reponse","prix"
"1","1","121","Bonjour, je cherche la tuile 1-4-4","La pièce est en bon état","20"
"3","3","121","Bonjour, je recherche un triangle 2.3.3 svp et la règle du jeu","Bonjour, j'ai le triangle 2.3.3 ainsi que la règle du jeu (un peu pliée sur les coins)","40"
"4","4","50","Bonjour, pourriez-vous me faire un devis pour la Belgique pour le jeu ""complet"" merci à vous","Bonsoir, j'ai ajouté un pion rouge (je vous avis dit qu'il en manquait un). Il manque toujours les billets de 100 et 3 livrets d'épargne.","450"
"5","5","158","Bonjour ! Je suis à la recherche de 3 pièces pour ce modèle de Dr Maboul :
- le smiley
- les WC
- la tête de mort / gaz toxique.
Dites-moi si vous avez ça ","Bonsoir, j'ai les 3 !","60"
"6","6","32","Bonjour, je suis à la recherche sur ce jeu :
1 pion numéroté 4 en vert
1 pion numéroté 5 en jaune
1 pion numéroté 4 en rouge
1 pion numéroté 5 en orange
et les 4 supports en caoutchouc.
merci d'avance
Sandra","Bonsoir, je n'ai plus que le 4 rouge et les 4 supports en caoutchouc. ","80"
"7","7","2","Bonjour je recherche dans ce jeu la main qui pousse la balle . sur l'image 15 

merci pour votre recherche","Bonsoir, j'ai la tige mais pas la main...","0"
"8","7","133","Bonjour je recherche dans ce jeu le ressort sur la figure 7A avec le bouchon ainsi que les 2 toits des colonnes .

merci","J'ai les 4 pièces (j'espère que l'on parle bien des mêmes toits) Voir photo","80"
"9","8","116","Bonjour, auriez-vous des papillons pour le jeu elefun ? peut importe la couleur et une vingtaine au moins si possible. Merci.","Bonsoir, j'en ai 23 ! Des rouges, verts et jaunes. ","120"
"11","10","2","Bonjour, 
J'ai la version de 1986 et il me manque une pièce. Je voudrais savoir si dans la version que vous avez il y a aussi le pot dans lequel tombe le plongeur. Je vous l'ai entouré sur la boite de jeu. 
Merci d'avance pour votre réponse et bonne soirée 
Sandrine","Bonsoir, il y a aussi un pot jaune dans la version que j'ai. Reste à savoir s'ils font bien la même taille. Celui que j'ai fait 6.7cm de diamètre à sa base. Merci pour vos encouragements !","20"
"13","12","18","je souhaiterais 2 boulets s'il vous plait.

Merci","Bonsoir, je n'en ai plus.","0"
"14","12","192","je souhaiterais un plateau
Merci","Je l'ai !","200"
"15","12","198","je souhaiterais les cartes suivantes : 
- verte skate board 
- jaune le chat 
- verte la porte qui claque 
- jaune le pied sur la punaise 
Merci","J'ai les 4 !","80"
"17","14","22","Bonjour,
Avez-vous une carotte en stock ? Mon jeu est complet mais les enfants ont cassé une des carottes. Merci","Bonsoir, oui j'ai !","20"
"19","16","57","Bonjour
Avez-vous
1 dé
1 gobelet
3 petits supports de rangement
1 jeton oreille
2 jetons patte. 
Merci","Bonsoir, j'ai le dé, les 3 petits supports de rangement, 1 jeton oreille et 2 jetons patte. Je n'ai plus le gobelet d'origine. Je peux vous en mettre un avec votre commande. Vous verrez sur place si vous souhaitez le prendre (gratuit).","160"
"20","17","30","Bonjour j'aimerais 15 pions roses et 15 pions bleus svp merci","Bonsoir, il ne me reste que 5 roses et 12 bleus.","50"
"21","18","56","Bonjour, je cherche les pièces suivantes: la figurine de gandalf, une unité d'élite de Sauron (rouge), 2 unités communes de Sauron (rouge), et une unité commune du Nord (bleue). Elles sont décrites dans la règle du jeu mais si nécessaire je peux donner une description plus précise. Merci beaucoup!","Bonsoir, j'ai regardé la règle sur internet, j'ai tout ! ","100"
"22","19","64","Bonjour avez vous la carte écran qui est le coupable? 
C’est bien celle avec des trous?","Bonsoir, je n'y ai jamais joué mais à priori c'est bien cette carte, celle avec des trous. Je l'ai en stock !","20"
"23","20","21","Bonjour je recherche le castor sonore (celui que j'ai ne fonctionne plus correctement)","Bonsoir, celui que j'ai ne fonctionne plus non plus....","0"
"24","20","200","Pour ce jeu j'ai besoin d'un réverbère pour l'hôtel Royal et 2 entrées hôtel","Je n'ai pas le réverbère mais j'ai les deux entrées","40"
"25","20","55","Pour ce jeu j'ai besoin de :
2 curseurs blancs
Règle du jeu","Je n'ai pas la règle du jeu mais j'ai les deux curseurs","40"
"26","20","231","Pour ce jeu il me manque :
3 pions blancs
1 vert
2 gris
La règle du jeu","J'ai tous les pions mais pas la règle du jeu","30"
"27","20","128","Pour celui j'ai besoin 
de l'étui de 55 cartes supplémentaires","Il est très abîmé...","0"
"28","20","222","Pour celui j'ai besoin
Sac en tissu
3 jetons bleus","J'ai le sac et les 3 jetons bleus (j'ai mis les trois valeurs : 1, 2 et 3)","65"
"29","21","149","Bonjour, avez vous le parapluie magnétique ? 
Merci.
Sophie NA","Bonsoir, oui je l'ai !","20"
"30","21","96","Bonjour, avez vous 2 baguettes roses, 2 baguettes vertes et 2 baguettes orange.  Merci","Oui j'ai les 6 baguettes.","100"
"36","25","82","Bonjour, auriez vous une bille verte, une bleue, une noire et 2 rouges ? 
Merci.","Bonsoir, j'ai une bleu, une noire et 2 rouges mais pas la verte.","80"
"37","26","42","Bonjour, il me manque les éléments suivants :
2 jetons carrés de couleur (un bleu et un vert), un minuteur
Si vous avez encore ces pièces, cela m’intéresserait 
Merci ☺️","Bonsoir, j'ai ces trois pièces !","90"
"40","29","88","Bonjour, je recherche les pièces suivantes : carte Anita rouge, carte Richard bleue et 3 supports en plastique.
Les pièces sont-elles encore disponibles ?","Bonsoir, j'ai bien tout ces éléments ! Je vous mets un 4ème support en plastique (gratuit) au cas où l'un d'eux ne supporterait pas le voyage.","100"
"41","30","30","4 voitures (j'ai la verte et la bleue)
- les pions roses et bleus (j'ai 2 roses et 1 bleu)
- l'église (n°2)
- une maison soit la n°3 ou la 7 (elles sont identiques) 
- les 2 petits fanions 
- la flèche de la roue (si vous ne voulez pas désolidariser le tout, la roue complète)
- 1 carte ""partage de richesse"" intitulée "" carte d'exemption"".","Bonsoir, cette fois-ci message bien reçu ! J'ai tout sauf les pions roses et bleus. Il me manque aussi une voiture. Je vous ai mis une rouge, une jaune et une noire.","180"
"44","32","178","Bonjour,
Je suis à la recherche de la tige du lustre (pièce L) et de la patte en forme du U (pièce K) : patte qui sert à maintenir la poutre.
Avez-vous ça en stock ?
Merci beaucoup
Bien cordialement
Elodie Rabatel","Bonsoir, j'ai les deux pièces. La tige pour le lustre est en mauvais état, elle est entière mais a été tordue. Je ne vous la facture pas.","20"
"49","35","184","Bonjour, avez-vous une pièce de S et une pièce de B s'il vous plait?","Bonsoir, oui j'ai !","40"
"50","35","117","Bonjour, auriez-vous une patte rouge et 3 yeux verts s'il vous plaît ?","J'ai une patte rouge mais je n'ai plus de jetons pour les yeux.","20"
"51","36","188","Bonjour, avez vous 2 pions jaunes 2 bleus 4 blancs 4 verts 1 rouge 3 noirs et 12 petites fiches blanches et 19 noires pour marquer sur les cotés","Bonsoir, j'ai presque tout ! Il me manque 2 petites fiches noires...","200"
"52","37","32","Bonjour, Auriez-vous le ""3"" orange ?","Bonsoir, je n'en ai plus.","0"
"53","37","53","Bonjour, Avez-vous la carte avec le casque de chevalier avec 3 plumes au-dessus ?","Oui, j'ai ! Pour être bien d'accord, on parle bien de la carte et non de la tuile qui va sur le plateau de jeu.","20"
"54","37","84","Bonjour, avez-vous une puce jaune ?","Oui, j'ai !","20"
"55","37","33","Bonjour, avez-vous les 2 pieces visibles sur la photo jointe ? Si ce n'est pas dans cette édition du Dr Maboul ça peut aussi provenir d'une autre édition.","Non je ne les ai plus.","0"
"56","37","25","Bonjour, auriez-vous un os blanc ?","Oui !","20"
"59","39","181","Bonjour,
Est ce qu'il manque beaucoup de pièces dans la boîte et combien coûterait elle ?
Merci d'avance !
Isabelle.","Bonsoir, il manque une machine et l'hélice est cassée. Il doit manquer aussi 3 marqueurs niveau d'eau. Il y a toutes les cartes et toutes les tuiles. ","400"
"60","40","10","Bonjour, je refais la demande, mais sans les pions cette fois ci (en calculant les 2,5 diamètres risques de faire serré.
Je vais donc vous prendre les 2 dés 6.","Bonsoir, je vous mets donc les deux dés.","40"
"61","40","205","Je vous redemande donc les 3 pions :  Blanc, Vert et Violet.","Et les 3 pions !","60"
"62","41","211","Bonjour avez vous une pomme et une poire ? Merci","Bonsoir, oui j'ai !","40"
"63","42","191","Bonjour, avez-vous un baril et un jeton vert et bleu ?","Bonsoir, oui j'ai ! Je me permets d'ajouter sur cette même ligne le coût des pièces (0.80€) pour le jeu Pièges (j'ai vu votre deuxième commande) afin que vous ne payiez qu'une seule fois le forfait de base.","138"
"66","44","89","Bonjour !
je suis à la recherche, concernant le jeu RAMSÈS II de :
- 1 pyramide bleue
- 1 pyramide jaune
- 4 jetons neutres
- 1 règle du jeu
Livrez-vous à Toulouse et quelle serait l'estimation de prix ?
Cordialement
Lucie RICHARD","Bonsoir, j'ai toutes les pièces que vous demandez y compris la règle du jeu !","170"
"68","46","190","Bonjour 
Avez vous la pince pour ce jeu?
Merci","Bonjour, oui j'ai !","20"
"70","48","86","Bonjour, jai le bas du support du jeu cassé. ( comme sur la photo)
Vous vendez donc l'ensemble du support ou juste la pièce défectueuse ?
De plus, est ce que vous vous séparez aussi des boites ? J'ai la boite du jeu qui a un peu souffert par le temps....","Bonsoir, je n'ai plus le bas du support. La boîte que j'ai a également souffert...","0"
"71","48","191","Bonjour avez-vous le curseur cash ? Une petite pièce noire comme sur la photo de la règle du jeu. 
Merci d'avance  laetitia","Oui j'ai !","20"
"72","49","211","Bonjour,
Je suis à la recherche de 5 pommes et d'1 prunes pour le jeu de ma classe car des élèves m'ont perdu des éléments du jeu ","Bonsoir, j'ai les 5 pommes et la prune !","120"
"73","49","185","Bonjour,
Je suis à la recherche de 3 lettres C, 10 lettres J et 5 lettres M.
L'année d'édition n'est pas importante mais je cherche des lettres du jeu classique. 
Merci, 
Lucie Patrouilleau","J'ai 2 lettres C, 1 lettre J et 3 lettres M.","120"
"74","50","35","Bonjour,
Je possède ce jeu mais me manque 2 pièces: la glace et la console de jeu. L'auriez-vous? Merci par avance","Bonjour, oui j'ai les deux !","40"
"75","51","89","Bonjour avez vous 1 jeton neutre ?","Bonjour, oui j'ai !","20"
"76","51","33","Bonjour, il me manque la pièce ""tranche de brioche"" en.plastique","Je l'ai aussi.","20"
"77","51","115","Bonjour, il me manque le révolver et son étui","Je l'ai.","40"
"78","52","200","Bonjour, auriez vous tous les billets pour ce jeu svp? J'ai tout le reste sauf cela, Ils ont disparu c'est un mystère... Merci!","Bonsoir, oui j'ai ! L'état des billets est moyen. Ils ne sont pas déchirés mais sont un peu gondolés sur les côtés.","150"
"79","53","118","Bonjour, il me manque 2 oreilles, 1 queue, 1 patte et 1 œil et le gobelet. Merci.","Bonjour, j'ai les 2 oreilles, la queue et la patte mais pas l’œil ni le gobelet.","80"
"80","54","118","Bonjour. 
Mon père a eu ce jeu quand il etait petit et il y tient beaucoup. Je voudrais lui faire un cadeau et lui permettre d'avoir ce jeu à nouveau au complet. Auriez-vous 6 jetons oeil, 3 jetons queue, 5 jetons oreilles et 8 jetons patte.
Je vous remercie par avance.","Bonjour, malheureusement il va manquer les jetons œil pour compléter le jeu. J'ai les 3 jetons queue, les 5 oreilles et les 8 pattes.","200"
"81","55","51","Bonjour j'aurais besoin d'une ligne droite.
Cordialement Céline TOURMEAU celine.tourmeau@hotmail.fr","Bonjour, j'ai !","20"
"83","57","54","Bonjour je cherche la pièce avec le scarabée. merci pour votre retour","Bonsoir, j'ai bien mis la tuile scarabée (non brillante) et j'ai ajouté une tuile droite. ","40"
"84","58","20","Bonjour avez vous le dé svp?
Merci","Bonsoir, oui j'ai ! (état d'usage)","20"
"85","59","192","Bonjour, avez vous l’arme matraque ? L’édition de ma sœur est presque complète, elle est relativement similaire à celle que vous proposez sur le site.","Bonjour, oui j'ai ! Etat moyen, elle n'est plus très lisse.","20"
"86","60","93","Bonjour, j'ai égaré le dvd du jeu ce qui le rend inutilisable... pouvez vous m'aider ?","Bonjour, oui je l'ai ! Je viens de vérifier, il fonctionne.","50"
"89","63","158","Bonjour, il manque deux pièces dans le jeu de mes enfants avez-vous l'oiseau et la morve? 
En vous remerciant pour votre réponse","Bonsoir, oui j'ai !","40"
"91","65","231","Bonjour,
Nous avons ce jeu de 2011 hasbro
auriez-vous 1 pion jaune, 1 pion orange et 1 pion rouge.
Merci
Ludothèque MIJ","Bonjour, j'ai les trois !","60"
"92","66","113","Bonjour  je souhaite pour ce jeux 4 pièces  
1 souris verte
  le seau  numéro  2
 la bassine et pour finir l'élastique  merci beaucoup","Bonjour, j'ai la souris verte, le seau numéro 2, la bassine mais pas l'élastique.","60"
"93","66","96","Bonjour  il me manque juste 1 bâtons  vert","J'ai.","20"
"94","66","27","Bonjour  je chercher  le  croque carotte  mais  c'est  pas  cet  version mais peut-être  que les carte c'est  les même  il me manque 2 cartes  de 3 bons","Vous avez bien fait de demander, je dois ajouter cette version au catalogue. J'ai les deux cartes !","40"
"95","67","23","Hello Antoine , aurais-tu l’arme matraque et la carte véranda   ?","Salut Emmanuelle ! J'ai la carte Véranda de cette édition. J'ai une arme matraque mais je ne peux pas te garantir qu'elle soit celle d'origine.","40"
"100","71","229","bonjour je recherche un chevalier jaune ou d'une autre couleur pour le repeindre","Bonsoir, j'ai justement pensé à vous lorsque j'ai vu les pièces arriver ! J'ai le chevalier jaune.","20"
