"idJeuxComplet","idCatalogue","reference","stock","prixHT","ancienPrixHT","information","isNeuf","etatBoite","etatMateriel","regleJeu","don","timeDon","vente","timeVente","actif"
"2","426","426-2","0","900","0","Coins de la boîte légèrement usagés (scotch).",NULL,"ÉTAT MOYEN","BON ÉTAT","ORIGINALE","0","0","|CB","1653373897","0"
"3","234","234-3","1","700","0","Un morceau de scotch sur l'une des fiches",NULL,"BON ÉTAT","ÉTAT MOYEN","SANS","1","1650828852",NULL,NULL,"0"
"4","234","234-4","1","600","0","Boîte un peu usagée. Deux fiches avec deux petits bouts de scotch.",NULL,"ÉTAT MOYEN","ÉTAT MOYEN","SANS","0","0",NULL,NULL,"1"
"5","690","690-5","1","1200","0","Étui du détective (état moyen)",NULL,"BON ÉTAT","BON ÉTAT","ORIGINALE","0","0",NULL,NULL,"1"
"7","377","377-7","1","1000","0",NULL,NULL,"BON ÉTAT","BON ÉTAT","ORIGINALE","0","0",NULL,NULL,"1"
"9","192","192-9","1","1100","0","Un coin de la boîte scotché. Photocopies des notes du détective.",NULL,"ÉTAT MOYEN","BON ÉTAT","ORIGINALE","0","0","11.00|ESPÈCES","1663500651","0"
"10","386","386-10","1","1200","0",NULL,NULL,"BON ÉTAT","BON ÉTAT","SANS","0","0","10.00|ESPÈCES","1663500767","0"
"11","451","451-11","1","300","0",NULL,NULL,"BON ÉTAT","BON ÉTAT","SANS","0","0",NULL,NULL,"1"
"12","361","361-12","1","300","0",NULL,NULL,"BON ÉTAT","BON ÉTAT","SANS","0","0","3.00|ESPÈCES","1655589179","0"
"13","362","362-13","1","400","0",NULL,NULL,"BON ÉTAT","BON ÉTAT","ORIGINALE","0","0","4.00|ESPÈCES","1663511986","0"
"14","447","447-14","0","700","0",NULL,NULL,"BON ÉTAT","BON ÉTAT","ORIGINALE","0","0","|CB","1657191540","0"
"15","67","67-15","1","400","0",NULL,NULL,"BON ÉTAT","BON ÉTAT","ORIGINALE","0","0",NULL,NULL,"1"
"16","295","295-16","1","1200","0",NULL,NULL,"BON ÉTAT","BON ÉTAT","ORIGINALE","0","0","12.00|ESPÈCES","1655540637","0"
"17","357","357-17","1","400","0",NULL,NULL,"BON ÉTAT","BON ÉTAT","SANS","0","0",NULL,NULL,"1"
"18","116","116-18","1","600","0",NULL,NULL,"ÉTAT MOYEN","BON ÉTAT","ORIGINALE","0","0","6.00|ESPÈCES","1663497294","0"
"19","667","667-19","1","600","0",NULL,NULL,"ÉTAT MOYEN","BON ÉTAT","ORIGINALE","0","0",NULL,NULL,"1"
"20","706","706-20","1","500","0",NULL,NULL,"BON ÉTAT","BON ÉTAT","SANS","0","0",NULL,NULL,"1"
