"idPiece","idJeu","contenu_total","message"
"1","1","1 pion baleine 
6 cannes à pêche bleu
1 dé
1 règle du jeu",NULL
"2","2","1 plateau de jeu
4 souris en plastique
1 bille en métal
1 boulet
25 pièces de construction
1 élastique
52 morceaux de fromage
1 dé 
1 règle du jeu",NULL
"10","10","1 plateau de jeu
15 jetons foncés
15 jetons clairs
2 dés 6 
1 dé spécial 
Règle du jeu",NULL
"11","11","1 plateau de jeu en quatre pièces
1 sorcière en bois (avec aimant)
1 balai de sorcière Abracadabra (avec aimant)
16 pierres magiques de 4 couleurs différentes (jaune, vert, bleu, rouge)
4 amulettes de sorcière
4 cordons
3 dés à symboles
1 sac
1 règle du jeu",NULL
"12","12","25 cartes Ballon (dont 5 violettes, 5 rouges, 5 jaunes, 5 vertes, 5 bleues)
25 cartes Action dont :
20 de couleur
5 cartes maman
1 règle du jeu",NULL
"15","15","1 plateau de jeu
1 pion Pipo Puréedepois
9 mains de couleurs
14 cartes d'exercices physiques
1 caddie
4 tampons 
2 blocs de feuilles
1 dé
1 corde à sauter 
1 règle du jeu
1 guide alimentaire",NULL
"17","17","1 mur
2 supports
6 figurines d'évadés
13 nœuds de corde bleus
13 nœuds de corde jaunes
Règle du jeu",NULL
"18","18","1 plateau de jeu en 4 parties
2 îles
4 caravelles
4 frégates
4 radeaux
4 socles pour placer les navires
14 trésors
1 canon noir
4 boulets (diamètre 13.7 mm)
2 dés",NULL
"19","19","1 règle de jeu
6 pistolets en mousse
6 personnages
12 socles en plastique
70 cartes
14 jetons blessure
14 marqueurs de honte
40 billets de banque cartonnés
Variantes &quot;un flic dans la mafia&quot; et &quot;super pouvoirs&quot;",NULL
"20","20","1 marteau-piqueur électrique
28 briques de couleur
1 brique Casse-Muraille
1 dé
1 plateau pour la construction du mur",NULL
"21","21","1 support en 3 parties (torrent + 2 berges)
10 troncs d'arbre orange
12 trons d'arbre jaunes
20 troncs d'arbre marrons
1 castor sonore
1 bâtonnet en bois 
1 règle du jeu",NULL
"22","22","1 lapin sauteur
1 terrier 
12 carottes
1 roulette
4 paniers colorés
1 règle du jeu",NULL
"23","23","1 plateau de jeu
6 pions personnage
6 armes
6 cartes SUSPECT 
6 cartes ARME 
9 cartes PIECE 
2 dés 
Un étui confidentiel
Le carnet de détective",NULL
"24","24","1 règle du jeu
90 cartes",NULL
"25","25","1 Croc Dog 
1 écuelle 
6 os rouges
6 os bleus
6 os jaunes
6 os blancs
1 pince patte de chat
21 cartes 
1 règle du jeu
1 instruction de montage",NULL
"27","27","1 support de jeu
6 lapins
15 cartes Carotte
1 pion en bois
Règle du jeu",NULL
"28","28","2 pions chevaux bleus
2 pions cheavux verts
2 chevaux jaunes
2 pions chevaux rouges
1 oie bleue
1 oie rouge
1 oie jaune
1 oie verte",NULL
"29","29","1 plateau à compartiments
1 roulette
24 plaquettes chiffres
1 tapis de jeu
1 sabot 
110 cartes lettres 
1 sablier 
1 carnet de marque
1 règle de jeu",NULL
"30","30","1 tableau de jeu
3 montagnes, 1 pont de péage, 7 bâtiments
1 roue du destin
6 voitures + pions roses et bleus
2 petits fanions
1 casier de rangement
Billets
Polices d'assurance, actions, billets à ordre 
12 cartes Partage de la Richesse 
18 cartes Marque de Standing
1 règle du jeu",NULL
"31","31","1 plateau de jeu vertical
1 base de jeu
5 pions rouges
5 pions jaunes
5 pions verts 
5 pions orange
4 supports en caoutchouc",NULL
"32","32","1 plateau de jeu vertical
1 base de jeu
5 pions rouges
5 pions jaunes
5 pions verts 
5 pions orange
4 supports en caoutchouc",NULL
"33","33","1 support de jeu + 1 plateau patient en carton + 1 feuille de métal
2 attaches
1 compartiment à piles + 1 pince
1 élastique 
28 cartes 
12 pièces anatomiques
Billets (10 billets de 50 + 8 billets de 200)
1 règle du jeu",NULL
"34","34","1 plateau de jeu et 1 pince
13 pièces d'anatomie dont 1 élastique 
1 tiroir de rangement
Règle du jeu",NULL
"36","36","Dominos",NULL
"37","37",NULL,NULL
"38","38","1 plateau de jeu
6 pions joueur
1 pions Malédiction
9 dés formule magique
6 séries de 9 cartes
27 cartes magie noire
Une boîte (et son couvercle) qui sert de piste de dés et qui représente le grand livre de magie",NULL
"39","39","1 corps d'ELEFUN motorisé
1 trompe
2 filets à papillons
2 manches et cercles en plastique
6 papillons orange
6 papilllons verts 
6 papillons bleus
7 papillons phosphorescents
1 notice d'instructions",NULL
"40","40","4 planches de loto
16 jetons-images
6 planches consignes
20 jetons 
4 planches-puzzles de 3 pièces 
1 plateau de jeu en 4 parties
6 jetons objets 
2 pions personnages + 2 socles 
1 gros dé",NULL
