"id","ville_code_postal","ville_nom","ville_departement","lng","lat","pays","departement_id"
"1","01190","OZAN","01","4.91667","46.3833","FR","1"
"2","01290","CORMORANCHE-SUR-SAONE","01","4.83333","46.2333","FR","1"
"3","01130","PLAGNE","01","5.73333","46.1833","FR","1"
"4","01250","TOSSIAT","01","5.31667","46.1333","FR","1"
"5","01250","POUILLAT","01","5.43333","46.3333","FR","1"
"6","01230","TORCIEU","01","5.4","45.9167","FR","1"
"7","01620","REPLONGES","01","4.88333","46.3","FR","1"
"8","01110","CORCELLES","01","5.58333","46.0333","FR","1"
"9","01630","PERON","01","5.93333","46.2","FR","1"
"10","01990","RELEVANT","01","4.95","46.0833","FR","1"
"11","01660","CHAVEYRIAT","01","5.06667","46.1833","FR","1"
"12","01150","VAUX-EN-BUGEY","01","5.35","45.9167","FR","1"
"13","01430","MAILLAT","01","5.55","46.1333","FR","1"
"14","01800","FARAMANS","01","5.11667","45.9","FR","1"
"15","01350","BEON","01","5.75","45.8333","FR","1"
"16","01600","SAINT-BERNARD","01","4.73723","45.945","FR","1"
"17","01510","ROSSILLON","01","5.6","45.8333","FR","1"
"18","01160","PONT-D'AIN","01","5.33333","46.05","FR","1"
"19","01460","NANTUA","01","5.61667","46.15","FR","1"
"20","01190","CHAVANNES-SUR-REYSSOUZE","01","5","46.4333","FR","1"
"21","01400","NEUVILLE-LES-DAMES","01","5","46.1667","FR","1"
"22","01350","FLAXIEU","01","5.73333","45.8167","FR","1"
"23","01260","HOTONNES","01","5.68333","46","FR","1"
"24","01150","SAINT-SORLIN-EN-BUGEY","01","5.36667","45.8833","FR","1"
"25","01260","SONGIEU","01","5.7","45.9667","FR","1"
"26","01260","VIRIEU-LE-PETIT","01","5.71667","45.9","FR","1"
"27","01500","SAINT-DENIS-EN-BUGEY","01","5.33333","45.95","FR","1"
"28","01800","CHARNOZ-SUR-AIN","01","5.21667","45.8667","FR","1"
"29","01150","CHAZEY-SUR-AIN","01","5.25","45.9","FR","1"
"30","01680","MARCHAMP","01","5.55","45.7833","FR","1"
"31","01350","CULOZ","01","5.78333","45.85","FR","1"
"32","01560","MANTENAY-MONTLIN","01","5.08333","46.4167","FR","1"
"33","01851","MARBOZ","01","5.25","46.3333","FR","1"
"34","01340","FOISSIAT","01","5.18333","46.3667","FR","1"
"35","01370","TREFFORT-CUISIAT","01","5.36834","46.2714","FR","1"
"36","01300","IZIEU","01","5.63333","45.65","FR","1"
"37","01370","SAINT-ETIENNE-DU-BOIS","01","5.28333","46.2833","FR","1"
"38","01110","HAUTEVILLE-LOMPNES","01","5.6","45.9667","FR","1"
"39","01990","SAINT-TRIVIER-SUR-MOIGNANS","01","4.9","46.0667","FR","1"
"40","01430","PEYRIAT","01","5.51667","46.15","FR","1"
"41","01230","EVOSGES","01","5.5","45.9583","FR","1"
"42","01450","PONCIN","01","5.4","46.0833","FR","1"
"43","01320","CRANS","01","5.21667","45.9667","FR","1"
"44","01460","MONTREAL-LA-CLUSE","01","5.57084","46.1867","FR","1"
"45","01230","CLEYZIEU","01","5.43333","45.9","FR","1"
"46","01260","LOMPNIEU","01","5.65","45.9667","FR","1"
"47","01250","VILLEREVERSURE","01","5.38333","46.1833","FR","1"
"48","01160","SAINT-MARTIN-DU-MONT","01","5.33333","46.1","FR","1"
"49","01630","SAINT-GENIS-POUILLY","01","6.01667","46.25","FR","1"
"50","01450","BOLOZON","01","5.48333","46.2","FR","1"
"51","01310","CONFRANCON","01","5.06667","46.2667","FR","1"
"52","01260","LOCHIEU","01","5.71667","45.9333","FR","1"
"53","01400","CHANOZ-CHATENAY","01","5.03333","46.1833","FR","1"
"54","01150","VILLEBOIS","01","5.43333","45.85","FR","1"
"55","01430","CEIGNES","01","5.5","46.1167","FR","1"
"56","01140","SAINT-DIDIER-SUR-CHALARONNE","01","4.81667","46.1667","FR","1"
"57","01250","REVONNAS","01","5.33333","46.1667","FR","1"
"58","01800","BOURG-SAINT-CHRISTOPHE","01","5.16667","45.8833","FR","1"
"59","01400","CONDEISSIAT","01","5.08333","46.1667","FR","1"
"60","01270","PIRAJOUX","01","5.3","46.3833","FR","1"
"61","01320","CHALAMONT","01","5.16667","46","FR","1"
"62","01330","LE PLANTAY","01","5.08333","46.0167","FR","1"
"63","01330","VERSAILLEUX","01","5.1","45.9833","FR","1"
"64","01250","MONTAGNAT","01","5.28333","46.1667","FR","1"
"65","01260","VIEU","01","5.68333","45.9","FR","1"
"66","01390","SAINT-ANDRE-DE-CORCY","01","4.95","45.9167","FR","1"
"67","01360","BRESSOLLES","01","5.1","45.8667","FR","1"
"68","01960","PERONNAS","01","5.2","46.1833","FR","1"
"69","01300","COLOMIEU","01","5.61667","45.7333","FR","1"
"70","01390","MONTHIEUX","01","4.93333","45.95","FR","1"
"71","01560","SAINT-JEAN-SUR-REYSSOUZE","01","5.06667","46.4","FR","1"
"72","01140","GARNERANS","01","4.83333","46.2","FR","1"
"73","01340","MONTREVEL-EN-BRESSE","01","5.13333","46.3333","FR","1"
"74","01230","CONAND","01","5.46667","45.8833","FR","1"
"75","01450","CHALLES-LA-MONTAGNE","01","5.46667","46.1333","FR","1"
"76","01140","MOGNENEINS","01","4.81667","46.1333","FR","1"
"77","01140","THOISSEY","01","4.8","46.1667","FR","1"
"78","01480","CHALEINS","01","4.8","46.0333","FR","1"
"79","01160","NEUVILLE-SUR-AIN","01","5.36667","46.0833","FR","1"
"80","01120","THIL","01","5.01667","45.8167","FR","1"
"81","01640","JUJURIEUX","01","5.41667","46.0333","FR","1"
"82","01230","ONCIEU","01","5.46667","45.95","FR","1"
"83","01090","LURCY","01","4.76667","46.0667","FR","1"
"84","01360","BALAN","01","5.1","45.8333","FR","1"
"85","01500","AMBUTRIX","01","5.33333","45.9333","FR","1"
"86","01120","SAINTE-CROIX","01","5.05195","45.8942","FR","1"
"87","01150","BLYES","01","5.25","45.85","FR","1"
"88","01300","CONZIEU","01","5.6","45.7333","FR","1"
"89","01120","NIEVROZ","01","5.06667","45.8333","FR","1"
"90","01460","NURIEUX-VOLOGNAT","01","5.52667","46.1856","FR","1"
"91","01300","AMBLEON","01","5.6","45.75","FR","1"
"92","01800","SAINT-MAURICE-DE-GOURDANS","01","5.2","45.8167","FR","1"
"93","01200","CHEZERY-FORENS","01","5.88333","46.2167","FR","1"
"94","01150","SAULT-BRENAZ","01","5.41667","45.85","FR","1"
"95","01300","MURS-ET-GELIGNIEUX","01","5.66667","45.6333","FR","1"
"96","01260","LE PETIT-ABERGEMENT","01","5.65","46.0333","FR","1"
"97","01560","CORMOZ","01","5.23333","46.45","FR","1"
"98","01510","SAINT-MARTIN-DE-BAVEL","01","5.68333","45.85","FR","1"
"99","01560","SAINT-TRIVIER-DE-COURTES","01","5.08333","46.4667","FR","1"
"100","01640","BOYEUX-SAINT-JEROME","01","5.46667","46.0333","FR","1"
"101","01500","CHATEAU-GAILLARD","01","5.3","45.9667","FR","1"
"102","01300","PREMEYZEL","01","5.65","45.6833","FR","1"
"103","01230","ARANDAS","01","5.48333","45.9","FR","1"
"104","01320","CHATENAY","01","5.2","46.0333","FR","1"
"105","01680","INNIMOND","01","5.56667","45.7833","FR","1"
"106","01190","BOZ","01","4.9","46.4","FR","1"
"107","01470","BRIORD","01","5.46667","45.7833","FR","1"
"108","01600","REYRIEUX","01","4.81667","45.9333","FR","1"
"109","01580","MATAFELON-GRANGES","01","5.56667","46.2667","FR","1"
"110","01250","DROM","01","5.36667","46.2167","FR","1"
"111","01200","CHATILLON-EN-MICHAILLE","01","5.78333","46.1333","FR","1"
"112","01310","POLLIAT","01","5.13333","46.25","FR","1"
"113","01170","VESANCY","01","6.08333","46.35","FR","1"
"114","01600","MASSIEUX","01","4.83333","45.9167","FR","1"
"115","01380","SAINT-CYR-SUR-MENTHON","01","4.98333","46.2667","FR","1"
"116","01450","SERRIERES-SUR-AIN","01","5.45","46.15","FR","1"
"117","01230","NIVOLLET-MONTGRIFFON","01","5.43333","45.9833","FR","1"
"118","01580","IZERNORE","01","5.55","46.2167","FR","1"
"119","01320","SAINT-NIZIER-LE-DESERT","01","5.15","46.05","FR","1"
"120","01090","GUEREINS","01","4.78333","46.1","FR","1"
"121","01140","ILLIAT","01","4.88333","46.1833","FR","1"
"122","01160","LA TRANCLIERE","01","5.26667","46.1167","FR","1"
"123","01600","SAINT-DIDIER-DE-FORMANS","01","4.78333","45.95","FR","1"
"124","01450","MERIGNAT","01","5.43333","46.0667","FR","1"
"125","01800","SAINT-ELOI","01","5.15","45.9333","FR","1"
"126","01240","LA CHAPELLE-DU-CHATELARD","01","5.03333","46.0667","FR","1"
"127","01800","SAINT-JEAN-DE-NIOST","01","5.21667","45.8333","FR","1"
"128","01480","SAVIGNEUX","01","4.85","46","FR","1"
"129","01300","NATTAGES","01","5.76667","45.7333","FR","1"
"130","01300","SAINT-BENOIT","01","5.58333","45.7","FR","1"
"131","01500","DOUVRES","01","5.36667","45.9833","FR","1"
"132","01090","FRANCHELEINS","01","4.8","46.0667","FR","1"
"133","01590","DORTAN","01","5.66667","46.3167","FR","1"
"134","01300","SAINT-GERMAIN-LES-PAROISSES","01","5.61667","45.7667","FR","1"
"135","01700","MIRIBEL","01","4.95306","45.8245","FR","1"
"136","01200","LANCRANS","01","5.83333","46.1333","FR","1"
"137","01170","ECHENEVEX","01","6.03333","46.3167","FR","1"
"138","01290","SAINT-JEAN-SUR-VEYLE","01","4.91667","46.25","FR","1"
"139","01200","BILLIAT","01","5.78333","46.0667","FR","1"
"140","01640","L'ABERGEMENT-DE-VAREY","01","5.41667","46","FR","1"
"141","01480","VILLENEUVE","01","4.83667","46.0212","FR","1"
"142","01330","VILLARS-LES-DOMBES","01","5.01667","46","FR","1"
"143","01110","THEZILLIEU","01","5.6","45.8833","FR","1"
"144","01190","SAINT-ETIENNE-SUR-REYSSOUZE","01","5","46.4","FR","1"
"145","01150","SOUCLIN","01","5.41667","45.8667","FR","1"
"146","01250","SAINT-JUST","01","5.28","46.1903","FR","1"
"147","01390","CIVRIEUX","01","4.88333","45.9167","FR","1"
"148","01230","ARGIS","01","5.48333","45.9333","FR","1"
"149","01510","TALISSIEU","01","5.71667","45.8667","FR","1"
"150","01330","BIRIEUX","01","5.03333","45.95","FR","1"
"151","01540","SAINT-JULIEN-SUR-VEYLE","01","4.95","46.2","FR","1"
"152","01710","THOIRY","01","5.97973","46.2364","FR","1"
"153","01290","LAIZ","01","4.88333","46.25","FR","1"
"154","01350","CRESSIN-ROCHEFORT","01","5.76667","45.7667","FR","1"
"155","01300","SAINT-CHAMP","01","5.73333","45.7833","FR","1"
"156","01400","SAINT-GEORGES-SUR-RENON","01","5.03333","46.1","FR","1"
"157","01430","LANTENAY","01","5.53333","46.05","FR","1"
"158","01560","VERNOUX","01","5.11667","46.4833","FR","1"
"159","01110","CORMARANCHE-EN-BUGEY","01","5.6","45.95","FR","1"
"160","01600","SAINTE-EUPHEMIE","01","4.78333","45.9667","FR","1"
"161","01270","BEAUPONT","01","5.26667","46.4","FR","1"
"162","01300","BRENS","01","5.69473","45.7187","FR","1"
"163","01250","RAMASSE","01","5.35","46.2","FR","1"
"164","01220","DIVONNE-LES-BAINS","01","6.13333","46.3667","FR","1"
"165","01200","LEAZ","01","5.88333","46.1","FR","1"
"166","01200","VILLES","01","5.78333","46.0833","FR","1"
"167","01560","SAINT-JULIEN-SUR-REYSSOUZE","01","5.11667","46.4","FR","1"
"168","01680","GROSLEE","01","5.56667","45.7167","FR","1"
"169","01660","VANDEINS","01","5.08333","46.2167","FR","1"
"170","01270","VERJON","01","5.35","46.35","FR","1"
